player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,WS/48,paint_rebounding,3catch_and_shoot,pullupshoot
Channing Frye,18.9,0.644,0.142,0.612,3.0,19.3,4.9,1.2,2.1,8.8,19.3,0.8,-1.5,0.125,0.1088,1.08224,0.27816
Chris Paul,31.5,0.385,0.331,0.614,2.5,14.9,46.8,3.1,0.3,14.0,24.4,7.8,1.0,0.264,0.028557,0.04872,5.16594
Clint Capela,23.9,0.0,0.314,0.638,12.5,24.5,6.9,1.1,4.2,12.0,19.9,0.0,1.0,0.185,0.237996,0.0,0.02
Cody Zeller,27.8,0.002,0.442,0.604,8.6,17.3,9.1,1.8,3.0,10.9,15.5,-0.2,2.3,0.157,0.258852,0.0,0.11281
Corey Brewer,15.6,0.339,0.195,0.491,2.7,11.5,10.7,2.3,1.2,12.7,14.3,-2.9,0.2,0.045,0.03696,0.0936,0.1576
Cory Joseph,25.0,0.204,0.185,0.518,2.9,10.4,20.0,1.7,0.6,13.1,18.4,-0.4,-0.4,0.082,0.126984,0.08372,1.23778
Courtney Lee,31.9,0.382,0.139,0.559,2.3,9.1,10.6,1.6,0.8,8.5,14.4,0.5,-0.7,0.081,0.085228,0.40138,1.5504
Cristiano Felicio,15.8,0.0,0.419,0.601,12.8,19.5,5.7,1.2,1.2,11.2,12.4,-0.6,0.5,0.157,0.227129,0.0,0.06216
D'Angelo Russell,28.7,0.443,0.217,0.518,1.8,11.9,26.8,2.3,0.7,15.6,26.6,1.1,-1.6,0.034,0.037884,0.24973,2.82968
DJ Augustin,19.7,0.53,0.311,0.524,1.0,7.4,20.4,1.0,0.1,13.3,19.4,-0.9,-3.3,0.038,0.222,0.20659,1.20304
Damian Lillard,35.9,0.388,0.366,0.586,1.9,13.3,28.7,1.3,0.6,10.2,31.5,6.4,-2.0,0.184,0.090207,0.15481,4.12595
Danilo Gallinari,33.9,0.432,0.516,0.622,2.0,14.7,9.1,0.9,0.5,8.1,19.9,2.9,-2.1,0.154,0.088032,0.60144,1.16116
Danny Green,26.6,0.693,0.071,0.537,2.0,11.8,9.6,2.0,2.6,14.1,13.5,-0.3,2.7,0.09,0.081088,0.89832,0.55993
Dante Cunningham,25.0,0.504,0.075,0.586,3.6,14.2,3.1,1.2,1.4,7.0,10.7,-1.3,0.8,0.088,0.094535,0.51516,0.0384
Dante Exum,18.6,0.41,0.201,0.521,2.9,9.3,14.2,0.9,0.8,16.8,18.1,-2.0,-0.5,0.047,0.1785,0.2272,0.09744
Dario Saric,26.3,0.368,0.237,0.508,5.8,20.8,14.3,1.3,1.1,15.2,24.6,-2.0,-0.2,0.023,0.153768,0.36888,0.56055
