player,player_id,pie,ts_pct,dreb_pct,efg_pct,def_rating,treb_pct,usg_pct,oreb_pct,pace,ast_ratio,ast_tov,ast_pct,off_rating
Patric Young,203942.0,,,,,,,,,,,,,
Pau Gasol,2200.0,0.13200000000000001,0.55700000000000005,0.27700000000000002,0.52700000000000002,105.684,0.0,0.20799999999999999,0.081000000000000003,95.917000000000002,16.643000000000001,1.1659999999999999,0.14000000000000001,110.645
Tibor Pleiss,202353.0,,,,,,,,,,,,,
Jodie Meeks,201975.0,0.070000000000000007,0.51300000000000001,0.11700000000000001,0.46000000000000002,110.828,0.0,0.20000000000000001,0.0070000000000000001,100.276,11.608000000000001,0.39600000000000002,0.086999999999999994,103.45
Joakim Noah,201149.0,0.091999999999999998,0.438,0.25800000000000001,0.44900000000000001,113.104,0.0,0.123,0.158,98.266000000000005,26.378,1.089,0.13800000000000001,103.685
Derrick Williams,202682.0,0.027,0.55000000000000004,0.14799999999999999,0.52800000000000002,109.489,0.0,0.17699999999999999,0.025000000000000001,96.486000000000004,6.2439999999999998,0.13,0.051999999999999998,104.539
Randy Foye,200751.0,0.052999999999999999,0.45600000000000002,0.13,0.42599999999999999,108.759,0.0,0.14199999999999999,0.0080000000000000002,104.178,24.404,0.95199999999999996,0.151,101.71599999999999
Robbie Hummel,203133.0,,,,,,,,,,,,,
Mike Miller,2034.0,0.063,0.25700000000000001,0.25900000000000001,0.20000000000000001,115.56,0.0,0.13400000000000001,0.017999999999999999,118.114,25.969000000000001,0.52500000000000002,0.14999999999999999,100.61
Jorge Gutierrez,203268.0,,,,,,,,,,,,,
Draymond Green,203110.0,0.121,0.52700000000000002,0.20799999999999999,0.47899999999999998,98.254999999999995,0.0,0.161,0.042000000000000003,103.479,36.165999999999997,3.2160000000000002,0.26400000000000001,115.825
Kyle Lowry,200768.0,0.14199999999999999,0.624,0.11799999999999999,0.57399999999999995,104.88200000000001,0.0,0.24399999999999999,0.021999999999999999,96.581999999999994,25.440000000000001,2.6549999999999998,0.28799999999999998,112.245
Carlos Boozer,2430.0,,,,,,,,,,,,,
Jannero Pargo,2457.0,,,,,,,,,,,,,
Raymond Felton,101109.0,0.069000000000000006,0.48899999999999999,0.11600000000000001,0.46600000000000003,109.526,0.0,0.159,0.021000000000000001,97.355999999999995,20.638000000000002,1.204,0.155,103.41200000000001
Austin Daye,201948.0,,,,,,,,,,,,,
Aaron Harrison,1626151.0,-0.125,0.052999999999999999,0.20000000000000001,0.0,94.439999999999998,0.0,0.127,0.0,91.670000000000002,36.938000000000002,0.0,0.29999999999999999,90.200000000000003
Thaddeus Young,201152.0,0.097000000000000003,0.55000000000000004,0.14999999999999999,0.54800000000000004,105.279,0.0,0.16800000000000001,0.073999999999999996,98.903000000000006,13.542,0.83899999999999997,0.083000000000000004,106.485
Kostas Papanikolaou,203123.0,,,,,,,,,,,,,
Kevin Love,201567.0,0.14699999999999999,0.56599999999999995,0.29799999999999999,0.51000000000000001,105.20399999999999,0.0,0.25,0.082000000000000003,99.405000000000001,9.4540000000000006,0.95299999999999996,0.092999999999999999,113.627
KJ McDaniels,203909.0,0.078,0.41399999999999998,0.14599999999999999,0.39200000000000002,104.31399999999999,0.0,0.17999999999999999,0.035000000000000003,96.918000000000006,5.2489999999999997,0.16,0.033000000000000002,106.529
Nikola Vucevic,202696.0,0.14000000000000001,0.48899999999999999,0.308,0.47299999999999998,106.748,0.0,0.24199999999999999,0.083000000000000004,100.602,14.708,1.397,0.157,101.837
Kelly Oubre,1626162.0,0.048000000000000001,0.46700000000000003,0.14699999999999999,0.432,108.991,0.0,0.159,0.040000000000000001,100.93600000000001,6.2510000000000003,0.26200000000000001,0.040000000000000001,103.27
Aaron Brooks,201166.0,0.037999999999999999,0.42699999999999999,0.069000000000000006,0.40300000000000002,108.035,0.0,0.185,0.024,96.227000000000004,22.997,0.90000000000000002,0.218,97.388999999999996
Larry Nance Jr.,1626204.0,0.084000000000000005,0.58599999999999997,0.19600000000000001,0.52800000000000002,108.57299999999999,0.0,0.13300000000000001,0.087999999999999995,101.303,15.663,0.64100000000000001,0.088999999999999996,101.33799999999999
Chauncey Billups,1497.0,,,,,,,,,,,,,
George Hill,201588.0,0.126,0.59399999999999997,0.104,0.55600000000000005,101.629,0.0,0.23300000000000001,0.02,92.611000000000004,20.196000000000002,1.9830000000000001,0.22,109.66800000000001
Jordan Hamilton,202706.0,,,,,,,,,,,,,
Jarell Martin,1626185.0,0.050999999999999997,0.43099999999999999,0.20200000000000001,0.35199999999999998,101.11799999999999,0.0,0.159,0.092999999999999999,97.647999999999996,3.238,0.078,0.037999999999999999,97.387
Isaiah Thomas,202738.0,0.156,0.61399999999999999,0.076999999999999999,0.53500000000000003,108.836,0.0,0.33000000000000002,0.017000000000000001,99.546000000000006,19.463000000000001,2.698,0.315,112.8
Jeremy Evans,202379.0,,,,,,,,,,,,,
Jared Sullinger,203096.0,-0.081000000000000003,0.20999999999999999,0.18099999999999999,0.20899999999999999,107.509,0.0,0.186,0.085000000000000006,96.545000000000002,2.6269999999999998,0.044999999999999998,0.039,92.099999999999994
Paul Millsap,200794.0,0.128,0.54700000000000004,0.20000000000000001,0.48699999999999999,103.137,0.0,0.247,0.050000000000000003,100.425,15.476000000000001,1.4950000000000001,0.17499999999999999,104.345
Avery Bradley,202340.0,0.094,0.54800000000000004,0.14799999999999999,0.53300000000000003,108.229,0.0,0.218,0.039,98.593999999999994,11.629,1.1759999999999999,0.104,109.32899999999999
