,player,Age,Tm,G,MP,WS,GS,MP.1,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,paint_rebounding,id,3catch_and_shoot,pullupshoot
24,Bojan Bogdanovic,27,TOT,81,25.7,2.9,54,2083,13.5,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4,108,114,2.0,0.9,0.067,-0.1,-2.8,-2.8,-0.4,0.061815,202711,0.483,1.032
25,Boris Diaw,34,UTA,73,17.6,1.1,33,1283,9.0,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,99,109,-0.1,1.2,0.041,-2.7,-0.2,-2.9,-0.3,0.211024,2564,0.05876,0.2665
26,Bradley Beal,23,WAS,77,34.9,8.5,77,2684,20.1,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,117,112,6.8,1.6,0.151,4.5,-2.4,2.2,2.8,0.1665,203078,0.5814,2.9692
27,Brandon Bass,31,LAC,52,11.1,2.2,0,577,19.7,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,125,109,1.6,0.6,0.186,0.1,-0.8,-0.7,0.2,0.188928,101138,0.00022,0.11649
28,Brandon Ingram,19,LAL,79,28.8,-0.3,40,2279,8.5,0.273,0.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,96,115,-1.0,0.7,-0.007,-3.1,-0.7,-3.8,-1.1,0.092574,1627742,0.13511,1.01388
29,Brandon Jennings,27,TOT,81,22.2,1.7,13,1802,12.1,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,104,113,0.7,1.0,0.046,-0.8,-2.2,-3.0,-0.4,0.0,201943,0.07134,1.3294
30,Brandon Knight,25,PHO,54,21.1,0.3,5,1140,12.3,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0,101,116,0.1,0.2,0.013,-1.5,-3.0,-4.5,-0.7,0.115218,202688,0.05586,1.83658
31,Brook Lopez,28,BRK,75,29.6,4.9,75,2222,20.4,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,108,111,3.1,1.8,0.105,1.9,-0.4,1.5,2.0,0.318,201572,0.46472,0.79968
32,Buddy Hield,23,TOT,82,23.0,1.3,55,1888,11.8,0.493,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.4,100,112,0.0,1.3,0.032,-0.9,-1.9,-2.8,-0.4,0.04872,1627741,0.38308,1.6848
33,CJ McCollum,25,POR,80,35.0,7.6,80,2796,19.9,0.305,0.204,2.4,9.2,5.8,18.0,1.3,1.2,9.9,27.5,114,113,6.2,1.4,0.131,3.3,-2.2,1.0,2.1,0.195662,203468,0.2618,4.4084
