,player,id,3catch_and_shoot,pullupshoot,paint_rebounding
129,Derrick Rose,201565,0.0052,2.33387,
130,Myles Turner,1626167,0.0558,0.27584,
131,Jason Terry,1891,0.52374,0.28304,
132,Shaun Livingston,2733,6e-05,1.0509,
133,Jahlil Okafor,1626143,0.0,0.48,
134,Nene,2403,0.00054,0.1425,
135,Rudy Gobert,203497,0.0,0.0,
136,Maurice Harkless,203090,0.2596,0.10296,
137,Lavoy Allen,202730,0.0,0.0333,
138,Thaddeus Young,201152,0.09794,0.1932,
139,Boris Diaw,2564,0.05876,0.2665,
140,David Lee,101135,0.0,0.1274,
141,Giannis Antetokounmpo,203507,0.03154,1.3611,
142,Malcolm Delaney,1627098,0.05304,1.275,
143,Brandon Jennings,201943,0.07134,1.3294,
144,Al Horford,201143,0.36456,0.38186,
145,Kawhi Leonard,202695,0.2466,3.6577,
146,Robin Lopez,201577,0.0,0.19651,
147,Al Jefferson,2744,0.0,0.21483,
148,Kenneth Faried,202702,0.0,0.0675,
149,Channing Frye,101112,1.08224,0.27816,
150,Dwyane Wade,2548,0.01624,3.11649,
151,Devin Harris,2734,0.24771,0.52264,
152,Jeremy Lamb,203087,0.08695,1.05616,
153,Monta Ellis,101145,0.10045,0.93835,
154,Otto Porter,203490,0.71556,0.8064,
155,Vince Carter,1713,0.61662,0.54085,
156,Shelvin Mack,202714,0.06498,1.11144,
157,Justin Anderson,1626147,0.23335,0.26918,
158,Jonathon Simmons,203613,0.06176,0.55728,
159,Pascal Siakam,1627783,0.0007,0.07326,
160,Jeff Green,201145,0.16592,0.7524,
161,Klay Thompson,202691,1.27078,1.73055,
162,Rondae Hollis-Jefferson,1626178,0.01648,0.37692,
163,Jameer Nelson,2749,0.2074,1.5336,
164,Iman Shumpert,202697,0.43362,1.09151,
165,Patrick Patterson,202335,0.87906,0.1292,
166,Norman Powell,1626181,0.1885,0.43844,
167,Jamal Murray,1627750,0.27265,1.34064,
168,Marco Belinelli,201158,0.28704,1.29168,
169,Rodney Hood,203918,0.40866,1.90532,
170,Jabari Parker,203953,0.2079,1.10838,
171,CJ McCollum,203468,0.2618,4.4084,
172,Eric Bledsoe,202339,0.09198,2.77406,
173,Tyler Ennis,203898,0.02142,0.7163,
174,Mike Dunleavy,2399,0.45746,0.30212,
175,Luc Mbah a Moute,201601,0.13083,0.2173,
176,Dwight Howard,2730,0.0,0.01332,
177,Stanley Johnson,1626169,0.17646,0.60342,
178,Jonas Valanciunas,202685,1e-05,0.09064,
179,Tyus Jones,1626145,0.10255,0.3663,
180,Davis Bertans,202722,0.6499,0.18759,
181,Kyle Anderson,203937,0.0368,0.1125,
182,Aron Baynes,203382,0.0,0.0,
183,Nick Young,201156,0.9555,2.0081,
184,Tomas Satoransky,203107,0.02716,0.2118,
185,Malcolm Brogdon,1627763,0.18306,0.91574,
186,PJ Tucker,200782,0.30586,0.24766,
187,Reggie Jackson,202704,0.0644,2.87453,
188,Tim Hardaway,203501,0.48334,1.37151,
189,Jimmy Butler,202710,0.0549,3.00172,
190,Kosta Koufos,201585,0.0,0.0693,
191,Courtney Lee,201584,0.40138,1.5504,
192,Nikola Vucevic,202696,0.02059,0.52773,
193,Mario Hezonja,1626209,0.20292,0.41625,
194,Luol Deng,2736,0.21973,0.60802,
195,Darren Collison,201954,0.12798,2.09643,
196,Jared Dudley,201162,0.62049,0.36225,
197,Arron Afflalo,201167,0.2781,0.96558,
198,Sam Dekker,1626155,0.2702,0.17052,
199,John Henson,203089,0.0,0.0175,
200,Ersan Ilyasova,101141,0.52244,0.69333,
201,Trey Burke,203504,0.06475,1.1656,
202,Zaza Pachulia,2585,0.0,0.028,
203,Tony Allen,2754,0.01806,0.0285,
204,Andre Roberson,203460,0.20358,0.0325,
205,Jusuf Nurkic,203994,0.0,0.04641,
206,Timothe Luwawu-Cabarrot,1627789,0.27472,0.09408,
207,Bojan Bogdanovic,202711,0.483,1.032,
208,Juan Hernangomez,1627823,0.345,0.01617,
209,Michael Beasley,201563,0.0285,0.7599,
210,Kyle O'Quinn,203124,0.00081,0.0875,
211,Jonas Jerebko,201973,0.27202,0.11583,
212,Patty Mills,201988,0.42804,1.67166,
213,Jamal Crawford,2037,0.12127,2.9735,
