,player,id,rim_defense
154,Otto Porter,203490,0.035
155,Vince Carter,1713,-0.03
156,Shelvin Mack,202714,0.01
157,Justin Anderson,1626147,0.089
158,Jonathon Simmons,203613,0.057
159,Pascal Siakam,1627783,-0.03
160,Jeff Green,201145,0.071
161,Klay Thompson,202691,-0.008
162,Rondae Hollis-Jefferson,1626178,0.01
163,Jameer Nelson,2749,0.111
164,Iman Shumpert,202697,0.048
165,Patrick Patterson,202335,-0.04
166,Norman Powell,1626181,0.118
167,Jamal Murray,1627750,0.114
168,Marco Belinelli,201158,0.222
169,Rodney Hood,203918,0.038
170,Jabari Parker,203953,-0.027
171,CJ McCollum,203468,-0.043
172,Eric Bledsoe,202339,0.048
173,Tyler Ennis,203898,0.146
174,Mike Dunleavy,2399,-0.106
175,Luc Mbah a Moute,201601,0.046
176,Dwight Howard,2730,-0.068
177,Stanley Johnson,1626169,-0.066
178,Jonas Valanciunas,202685,-0.052
179,Tyus Jones,1626145,0.231
180,Davis Bertans,202722,-0.02
181,Kyle Anderson,203937,-0.057
182,Aron Baynes,203382,-0.107
183,Nick Young,201156,0.149
184,Tomas Satoransky,203107,0.006
185,Malcolm Brogdon,1627763,0.109
186,PJ Tucker,200782,-0.006
187,Reggie Jackson,202704,0.035
188,Tim Hardaway,203501,0.016
189,Jimmy Butler,202710,0.04
190,Kosta Koufos,201585,-0.037
191,Courtney Lee,201584,0.105
192,Nikola Vucevic,202696,0.009
193,Mario Hezonja,1626209,-0.028
194,Luol Deng,2736,0.072
195,Darren Collison,201954,0.126
196,Jared Dudley,201162,-0.056
197,Arron Afflalo,201167,0.149
198,Sam Dekker,1626155,-0.013
199,John Henson,203089,-0.015
200,Ersan Ilyasova,101141,-0.017
201,Trey Burke,203504,0.139
202,Zaza Pachulia,2585,0.047
203,Tony Allen,2754,0.007
204,Andre Roberson,203460,-0.032
205,Jusuf Nurkic,203994,-0.049
206,Timothe Luwawu-Cabarrot,1627789,-0.005
207,Bojan Bogdanovic,202711,0.023
208,Juan Hernangomez,1627823,0.038
209,Michael Beasley,201563,-0.032
210,Kyle O'Quinn,203124,-0.107
211,Jonas Jerebko,201973,-0.004
212,Patty Mills,201988,0.11
213,Jamal Crawford,2037,0.079
214,Joe Ingles,204060,0.048
215,Tony Snell,203503,0.083
216,Tarik Black,204028,-0.058
217,Dante Exum,203957,-0.006
218,Markieff Morris,202693,-0.034
219,Alex Len,203458,-0.087
220,Buddy Hield,1627741,0.092
221,Timofey Mozgov,202389,-0.025
222,Greg Monroe,202328,0.042
223,Brandon Ingram,1627742,0.057
224,Mindaugas Kuzminskas,1627851,0.025
225,Noah Vonleh,203943,-0.085
226,Matthew Dellavedova,203521,0.098
227,D'Angelo Russell,1626156,0.148
228,Blake Griffin,201933,0.041
229,Langston Galloway,204038,-0.008
230,Marvin Williams,101107,-0.029
231,Paul George,202331,0.052
232,Dante Cunningham,201967,0.024
233,Tristan Thompson,202684,-0.089
234,Evan Turner,202323,0.012
235,James Ennis,203516,0.032
236,Devin Booker,1626164,-0.004
237,Kristaps Porzingis,204001,-0.112
238,Manu Ginobili,1938,0.008
239,Cristiano Felicio,1626245,-0.004
