Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
211,Michael Kidd-Gilchrist\kiddgmi01,2016-17,23,CHO,NBA,81,29.0,.528,81,2349,295,618,294,609,1,9,152,194,156,409,565,114,81,77,56,187,743,.477,.483,.111,.478,.784
212,Solomon Hill\hillso01,2016-17,25,NOP,NBA,80,29.7,.528,71,2374,183,477,89,207,94,270,103,128,51,256,307,141,71,32,82,182,563,.384,.430,.348,.482,.805
213,Nemanja Bjelica\bjeline01,2016-17,28,MIN,NBA,65,18.3,.526,1,1190,151,356,95,179,56,177,45,61,57,187,244,79,40,20,59,154,403,.424,.531,.316,.503,.738
214,Jordan Clarkson\clarkjo01,2016-17,24,LAL,NBA,82,29.2,.526,19,2397,477,1071,360,715,117,356,134,168,49,197,246,213,88,8,164,150,1205,.445,.503,.329,.500,.798
215,Al Jefferson\jeffeal01,2016-17,32,IND,NBA,66,14.1,.526,1,931,235,471,235,470,0,1,65,85,75,203,278,57,19,16,33,125,535,.499,.500,.000,.499,.765
216,Jamal Crawford\crawfja01,2016-17,36,LAC,NBA,82,26.3,.526,1,2157,359,869,243,547,116,322,174,203,17,112,129,213,59,14,134,115,1008,.413,.444,.360,.480,.857
217,Kyle Anderson\anderky01,2016-17,23,SAS,NBA,72,14.2,.525,14,1020,93,209,78,169,15,40,45,57,33,175,208,91,51,26,39,63,246,.445,.462,.375,.481,.789
218,Noah Vonleh\vonleno01,2016-17,21,POR,NBA,74,17.1,.525,41,1265,130,270,123,250,7,20,60,94,131,256,387,31,30,27,64,154,327,.481,.492,.350,.494,.638
219,D.J. Augustin\augusdj01,2016-17,29,ORL,NBA,78,19.7,.524,20,1538,195,517,100,243,95,274,131,161,15,102,117,209,31,1,90,101,616,.377,.412,.347,.469,.814
220,Tyus Jones\jonesty01,2016-17,20,MIN,NBA,60,12.9,.523,0,774,75,181,49,108,26,73,33,43,10,57,67,156,47,5,38,50,209,.414,.454,.356,.486,.767
221,Pascal Siakam\siakapa01,2016-17,22,TOR,NBA,55,15.6,.523,38,859,103,205,102,198,1,7,22,32,64,121,185,17,26,45,33,109,229,.502,.515,.143,.505,.688
222,Rodney Hood\hoodro01,2016-17,24,UTA,NBA,59,27.0,.522,55,1593,272,666,158,359,114,307,90,115,16,186,202,96,38,11,65,132,748,.408,.440,.371,.494,.783
223,Draymond Green\greendr01,2016-17,26,GSW,NBA,76,32.5,.522,76,2471,272,650,191,387,81,263,151,213,98,501,599,533,154,106,184,217,776,.418,.494,.308,.481,.709
224,Dante Exum\exumda01,2016-17,21,UTA,NBA,66,18.6,.521,26,1228,155,363,111,214,44,149,58,73,30,102,132,112,21,12,80,146,412,.427,.519,.295,.488,.795
225,Tyler Ennis\ennisty01,2016-17,22,TOT,NBA,53,11.1,.521,2,588,90,208,63,138,27,70,21,25,10,36,46,86,26,2,45,58,228,.433,.457,.386,.498,.840
226,Elfrid Payton\paytoel01,2016-17,22,ORL,NBA,82,29.4,.520,58,2412,430,912,390,766,40,146,146,211,89,298,387,529,88,40,178,177,1046,.471,.509,.274,.493,.692
227,Thabo Sefolosha\sefolth01,2016-17,32,ATL,NBA,62,25.7,.519,42,1596,174,395,133,275,41,120,55,75,54,216,270,107,96,31,58,97,444,.441,.484,.342,.492,.733
228,Kentavious Caldwell-Pope\caldwke01,2016-17,23,DET,NBA,76,33.3,.519,75,2529,370,928,217,491,153,437,154,185,55,193,248,193,89,12,86,118,1047,.399,.442,.350,.481,.832
229,Shelvin Mack\macksh01,2016-17,26,UTA,NBA,55,21.9,.518,9,1205,170,381,133,261,37,120,53,77,20,108,128,154,42,3,90,100,430,.446,.510,.308,.495,.688
