,player,id,3catch_and_shoot,pullupshoot,paint_rebounding
134,Nene,2403,,,0.197091
135,Rudy Gobert,203497,,,0.156176
136,Maurice Harkless,203090,,,0.32334
137,Lavoy Allen,202730,,,0.2832
138,Thaddeus Young,201152,,,0.194438
139,Boris Diaw,2564,,,0.211024
140,David Lee,101135,,,0.218784
141,Giannis Antetokounmpo,203507,,,0.1495
142,Malcolm Delaney,1627098,,,0.09317
143,Brandon Jennings,201943,,,0.0
144,Al Horford,201143,,,0.159873
145,Kawhi Leonard,202695,,,0.157899
146,Robin Lopez,201577,,,0.385904
147,Al Jefferson,2744,,,0.198531
148,Kenneth Faried,202702,,,0.2247
149,Channing Frye,101112,,,0.1088
150,Dwyane Wade,2548,,,0.114162
151,Devin Harris,2734,,,0.094
152,Jeremy Lamb,203087,,,0.061744
153,Monta Ellis,101145,,,0.063492
154,Otto Porter,203490,,,0.1089
155,Vince Carter,1713,,,0.143208
156,Shelvin Mack,202714,,,0.039294
157,Justin Anderson,1626147,,,0.095887
158,Jonathon Simmons,203613,,,0.1628
159,Pascal Siakam,1627783,,,0.1665
160,Jeff Green,201145,,,0.129514
161,Klay Thompson,202691,,,0.102708
162,Rondae Hollis-Jefferson,1626178,,,0.121326
163,Jameer Nelson,2749,,,0.03
164,Iman Shumpert,202697,,,0.063936
165,Patrick Patterson,202335,,,0.161838
166,Norman Powell,1626181,,,0.073006
167,Jamal Murray,1627750,,,0.115401
168,Marco Belinelli,201158,,,0.02775
169,Rodney Hood,203918,,,0.0762
170,Jabari Parker,203953,,,0.175428
171,CJ McCollum,203468,,,0.195662
172,Eric Bledsoe,202339,,,0.126
173,Tyler Ennis,203898,,,0.08325
174,Mike Dunleavy,2399,,,0.09438
175,Luc Mbah a Moute,201601,,,0.188145
176,Dwight Howard,2730,,,0.16104
177,Stanley Johnson,1626169,,,0.102512
178,Jonas Valanciunas,202685,,,0.2009
179,Tyus Jones,1626145,,,0.03575
180,Davis Bertans,202722,,,0.26775
181,Kyle Anderson,203937,,,0.103356
182,Aron Baynes,203382,,,0.20358
183,Nick Young,201156,,,0.17097
184,Tomas Satoransky,203107,,,0.11858
185,Malcolm Brogdon,1627763,,,0.172827
186,PJ Tucker,200782,,,0.132
187,Reggie Jackson,202704,,,0.0555
188,Tim Hardaway,203501,,,0.136851
189,Jimmy Butler,202710,,,0.131706
190,Kosta Koufos,201585,,,0.137904
191,Courtney Lee,201584,,,0.085228
192,Nikola Vucevic,202696,,,0.143671
193,Mario Hezonja,1626209,,,0.098098
194,Luol Deng,2736,,,0.152944
195,Darren Collison,201954,,,0.10725
196,Jared Dudley,201162,,,0.161022
197,Arron Afflalo,201167,,,0.015873
198,Sam Dekker,1626155,,,0.15707
199,John Henson,203089,,,0.2568
200,Ersan Ilyasova,101141,,,0.135642
201,Trey Burke,203504,,,0.03575
202,Zaza Pachulia,2585,,,0.1865
203,Tony Allen,2754,,,0.260043
204,Andre Roberson,203460,,,0.188168
205,Jusuf Nurkic,203994,,,0.220988
206,Timothe Luwawu-Cabarrot,1627789,,,0.1028
207,Bojan Bogdanovic,202711,,,0.061815
208,Juan Hernangomez,1627823,,,0.128
209,Michael Beasley,201563,,,0.16827
210,Kyle O'Quinn,203124,,,0.20713
211,Jonas Jerebko,201973,,,0.102284
212,Patty Mills,201988,,,0.077
213,Jamal Crawford,2037,,,0.09
214,Joe Ingles,204060,,,0.01957
215,Tony Snell,203503,,,0.056283
216,Tarik Black,204028,,,0.264132
217,Dante Exum,203957,,,0.1785
218,Markieff Morris,202693,,,0.157825
219,Alex Len,203458,,,0.1795
220,Buddy Hield,1627741,,,0.04872
221,Timofey Mozgov,202389,,,0.241432
222,Greg Monroe,202328,,,0.244648
223,Brandon Ingram,1627742,,,0.092574
224,Mindaugas Kuzminskas,1627851,,,0.33625
225,Noah Vonleh,203943,,,0.232
226,Matthew Dellavedova,203521,,,0.231
227,D'Angelo Russell,1626156,,,0.037884
228,Blake Griffin,201933,,,0.133342
229,Langston Galloway,204038,,,0.052614
230,Marvin Williams,101107,,,0.0756
231,Paul George,202331,,,0.047064
232,Dante Cunningham,201967,,,0.094535
233,Tristan Thompson,202684,,,0.24072
234,Evan Turner,202323,,,0.075589
235,James Ennis,203516,,,0.132104
236,Devin Booker,1626164,,,0.091875
237,Kristaps Porzingis,204001,,,0.206
238,Manu Ginobili,1938,,,0.065494
239,Cristiano Felicio,1626245,,,0.227129
240,Jon Leuer,202720,,,0.109068
241,Kentavious Caldwell-Pope,203484,,,0.114688
242,Gary Harris,203914,,,0.083104
243,Deron Williams,101114,,,0.050505
244,Evan Fournier,203095,,,0.182441
245,Semaj Christon,203902,,,0.143
246,Shabazz Muhammad,203498,,,0.282855
247,Willie Cauley-Stein,1626161,,,0.197566
248,Victor Oladipo,203506,,,0.060024
249,Bobby Portis,1626171,,,0.10547
250,Marreese Speights,201578,,,0.190762
251,Ty Lawson,201951,,,0.184
252,Brandon Knight,202688,,,0.115218
253,Wesley Johnson,202325,,,0.062604
254,Mike Muscala,203488,,,0.214455
255,CJ Watson,201228,,,0.1
256,Ian Clark,203546,,,0.0168
257,Patrick Beverley,201976,,,0.097236
258,Jakob Poeltl,1627751,,,0.339048
259,Tobias Harris,202699,,,0.116522
260,Jordan Clarkson,203903,,,0.133525
261,Ron Baker,1627758,,,0.137094
262,Karl-Anthony Towns,1626157,,,0.182516
263,Danilo Gallinari,201568,,,0.088032
264,Leandro Barbosa,2571,,,0.030602
265,Anthony Tolliver,201229,,,0.102808
266,Kelly Olynyk,203482,,,0.080496
267,Derrick Favors,202324,,,0.201664
268,Lou Williams,101150,,,0.084056
269,Eric Gordon,201569,,,0.10875
270,Dario Saric,203967,,,0.153768
271,Marcin Gortat,101162,,,0.15912
272,Jrue Holiday,201950,,,0.131535
273,Terrence Jones,203093,,,0.160952
274,Taurean Prince,1627752,,,0.108747
275,Allen Crabbe,203459,,,0.072645
276,Bismack Biyombo,202687,,,0.136496
277,Taj Gibson,201959,,,0.231336
278,Clint Capela,203991,,,0.237996
279,TJ Warren,203933,,,0.2975
280,Caris LeVert,1627747,,,0.02743
281,Anthony Davis,203076,,,0.131208
282,Danny Green,201980,,,0.081088
283,Isaiah Whitehead,1627785,,,0.167076
284,Al-Farouq Aminu,202329,,,0.172746
285,Josh Richardson,1626196,,,0.166463
286,Nikola Mirotic,202703,,,0.112081
287,Aaron Gordon,203932,,,0.151018
288,Tyler Zeller,203092,,,0.293662
289,Montrezl Harrell,1626149,,,0.278568
290,Justin Holiday,203200,,,0.108225
291,Jaylen Brown,1627759,,,0.1075
292,Doug McDermott,203926,,,0.093732
293,Trey Lyles,1626168,,,0.072846
294,Dirk Nowitzki,1717,,,0.111629
295,Ben McLemore,203463,,,0.091616
296,Patrick McCaw,1627775,,,0.216931
297,DeMar DeRozan,201942,,,0.18375
298,Dorian Finney-Smith,1627827,,,0.150024
299,Russell Westbrook,201566,,,0.062524
300,Steven Adams,203500,,,0.328994
301,Garrett Temple,202066,,,0.2168
302,Jae Crowder,203109,,,0.069
